row	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128
11	0.5	0.5	0.6	None	None	0.6	None	None	0.8	None	None	None	0.5	None	0.5	None	None	None	None	0.6	None	0.5	0.8	None	None	None	None	0.8	None	0.5	0.8	None	None	None	None	None	0.6	None	None	0.3	None	None	None	0.5	0.5	None	None	None	None	None	None	None	None	0.7	0.8	0.8	0.8	None	None	None	None	0.4	0.8	0.5	None	None	0.6	0.4	None	None	None	0.5	None	None	0.6	0.8	None	None	None	None	0.5	None	None	None	None	0.8	None	None	None	0.8	0.6	0.5	None	None	0.8	None	None	None	0.4	0.5	0.7	None	None	0.2	None	0.6	None	0.5	None	None	None	None	0.7	None	0.6	None	0.3	0.6	0.6	None	None	0.7	None	0.5	None	0.5	0.5	None
12	0.973	None	0.17	None	None	0.133	0.154	None	0.085	None	None	0.114	0.093	None	0.154	None	None	None	None	0.734	None	0.973	0.872	None	None	None	None	0.13	None	0.973	0.697	None	None	None	None	None	0.189	None	0.178	0.588	None	None	0.154	0.114	0.072	None	None	0.061	None	None	None	None	0.734	0.25	0.697	0.737	0.872	0.872	None	None	None	0.082	0.872	0.96	None	0.072	0.12	0.061	None	0.098	None	0.973	None	None	0.231	0.255	None	None	None	None	0.973	None	None	None	None	0.128	None	None	None	0.872	0.221	0.846	0.548	None	0.176	0.319	None	None	0.114	0.798	0.957	None	0.154	0.157	None	0.684	None	0.973	0.072	None	0.96	None	0.112	None	0.141	None	0.112	0.106	0.146	None	None	0.247	None	None	None	0.973	0.114	None
13	0.44	0.44	0.473	None	None	0.451	None	None	0.385	None	None	None	0.374	None	0.396	None	None	None	None	0.44	None	0.44	0.44	None	None	None	None	0.451	None	0.44	0.429	None	None	None	None	None	0.516	None	None	0.484	None	None	None	0.451	0.385	None	None	None	None	None	None	None	None	0.418	0.429	0.44	0.44	None	None	None	None	0.538	0.44	0.44	None	None	0.549	0.451	None	None	None	0.44	None	None	0.429	0.44	None	None	None	None	0.44	None	None	None	None	0.407	None	None	None	0.44	0.44	0.44	None	None	0.418	None	None	None	0.44	0.462	0.44	None	None	0.549	None	0.495	None	0.44	None	None	None	None	0.407	None	0.44	None	0.681	0.473	0.473	None	None	0.967	None	0.44	None	0.44	0.451	None
14	0.375	0.375	0.25	None	None	0.341	None	None	0.182	None	0.182	None	0.17	None	0.136	0.136	None	None	None	0.159	None	0.375	0.375	None	0.625	None	None	0.159	None	0.375	0.375	None	None	None	None	None	0.159	None	None	0.205	None	None	None	0.159	0.136	None	None	None	None	None	None	None	None	0.136	0.375	0.273	0.375	None	None	None	None	0.216	0.375	0.375	None	None	0.375	0.227	0.33	None	None	0.375	0.17	None	0.182	0.375	None	None	None	None	0.375	None	None	None	None	0.17	None	None	None	0.375	0.227	0.375	None	None	0.205	None	None	None	0.17	0.227	0.375	None	None	0.17	0.375	0.159	None	0.375	None	None	None	None	0.148	None	0.341	None	0.295	0.17	0.216	None	None	0.216	None	0.375	None	0.375	0.159	None
15	None	None	None	None	0.671	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.646	None	None	None	None	None	0.646	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.72	None	None	0.768	None	None	None	None	None	None	None	0.671	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.72	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.683	None	0.744	None	None	None
16	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.429	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.368	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.45	None	None	None	None	None	None
17	0.062	0.062	0.041	None	None	0.062	None	None	0.038	None	0.023	None	0.024	None	0.039	0.039	None	None	None	0.062	None	0.062	0.062	None	0.06	None	None	0.02	None	0.062	0.062	None	None	None	None	None	0.026	None	None	0.062	None	None	None	0.041	0.062	None	None	None	None	None	None	None	None	0.062	0.062	0.062	0.062	None	None	None	None	0.043	0.062	0.062	None	None	0.062	0.028	0.065	None	None	0.062	0.039	None	0.025	0.062	None	None	None	None	0.062	None	None	None	None	0.023	None	None	None	0.062	0.138	0.062	None	None	0.015	0.065	None	None	0.011	0.269	0.062	None	None	0.578	0.062	0.04	None	0.062	None	None	None	None	0.062	None	0.062	None	0.095	0.029	0.038	None	None	0.327	None	0.062	None	0.062	0.041	None
18	None	0.903	0.271	None	None	0.34	None	None	0.28	None	None	None	0.292	None	0.249	None	None	None	None	0.34	None	0.34	0.34	None	None	None	None	None	None	None	0.478	None	None	None	None	None	0.249	None	None	None	None	None	None	0.19	0.249	None	None	None	None	None	None	None	0.34	0.349	0.478	0.34	0.34	None	None	None	None	None	0.34	0.903	None	None	0.603	0.248	None	None	None	None	None	None	0.246	0.34	None	None	None	None	0.34	None	None	None	None	0.209	None	None	None	0.268	0.484	None	0.407	None	None	None	None	None	None	0.527	0.797	None	None	0.47	None	0.336	None	0.34	None	None	None	None	None	None	0.34	None	None	0.195	0.293	None	None	0.478	None	0.903	None	None	None	None
19	None	None	None	None	0.639	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.639	0.703	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.654	None	None	0.805	None	None	None	None	0.639	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.639	None	None	None	None	None	None	None	None	None	None	None	0.988	None	None	None	None	0.643	None	None	None	0.652	None	None	None	None	None	None	None	None	0.924	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	0.644	None	None	None	None	None
20	0.313	0.313	0.307	None	None	0.313	None	None	0.29	None	0.313	None	0.293	None	0.253	0.253	None	None	None	0.313	None	0.313	0.313	None	0.283	None	None	0.313	None	0.313	0.313	None	None	None	None	None	0.34	None	None	0.313	None	None	None	0.323	0.263	None	None	None	None	None	None	None	None	0.313	0.313	0.313	0.313	None	None	None	None	0.313	0.313	0.313	None	None	0.313	0.293	0.313	None	None	0.313	0.277	None	0.293	0.313	None	None	None	None	0.313	None	None	None	None	0.303	None	None	None	0.313	0.303	0.313	None	None	0.3	0.32	None	None	0.31	0.47	0.313	None	None	0.343	0.313	0.35	None	0.313	None	None	None	None	0.327	None	0.313	None	0.397	0.253	0.24	None	None	0.307	None	0.313	None	0.313	0.323	None
